,Unnamed: 0,model,score,runtime
120,37,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,-3.425327990161073,142.774
121,26,SriramSridhar78/sriram-car-classifier,-3.7076849719802,143.076
122,136,nickmuchi/vit-base-xray-pneumonia,-4.009921040005231,154.531
123,50,facebook/convnext-tiny-224,-6.152264924022528,94.897
124,107,mrm8488/data2vec-base-finetuned-imagenet1k,-7.499084762968977,155.376
125,56,facebook/deit-tiny-patch16-224,-7.547744475110117,75.177
126,32,Visual-Attention-Network/van-small,-7.747779210346581,87.561
127,30,Visual-Attention-Network/van-base,-8.26182777947898,110.904
128,52,facebook/deit-base-patch16-224,-10.302210318083096,143.001
129,51,facebook/deit-base-distilled-patch16-224,-11.468495312911555,140.361
130,118,nateraw/planes-trains-automobiles,-11.704819017598126,143.527
131,66,google/vit-base-patch32-384,-11.715820455948036,108.273
132,100,microsoft/beit-base-patch16-224,-13.660859106838837,154.087
133,55,facebook/deit-tiny-distilled-patch16-224,-16.867056764033496,74.83
134,53,facebook/deit-small-distilled-patch16-224,-18.46767522944805,87.344
135,74,imjeffhi/pokemon_classifier,-25.449291553594797,149.439
136,34,WinKawaks/vit-small-patch16-224,-28.630758900333845,87.37
137,31,Visual-Attention-Network/van-large,-33.398938197702535,145.383
138,35,WinKawaks/vit-tiny-patch16-224,-40.11364790877742,75.582
139,33,Visual-Attention-Network/van-tiny,-66.84598467019836,79.233
140,49,facebook/convnext-small-224,-inf,118.929
141,65,google/vit-base-patch16-224,-inf,142.934
142,17,IDEA-CCNL/Taiyi-vit-87M-D,-inf,145.011
143,54,facebook/deit-small-patch16-224,-inf,86.962
144,102,microsoft/resnet-50,,92.488
