,model,target_dataset,model_name,dataset_name,task_type,metric,batch_size,dataset_path,runtime,score
45,Jeevesh8/6ep_bert_ft_cola-29,rotten_tomatoes,Jeevesh8/6ep_bert_ft_cola-29,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,8.715151071548462,-0.4474332372013097
46,Jeevesh8/6ep_bert_ft_cola-47,rotten_tomatoes,Jeevesh8/6ep_bert_ft_cola-47,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,10.305341958999634,-0.448677742338609
47,Jeevesh8/512seq_len_6ep_bert_ft_cola-91,rotten_tomatoes,Jeevesh8/512seq_len_6ep_bert_ft_cola-91,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,8.914392232894897,-0.4487198034322436
48,connectivity/cola_6ep_ft-33,rotten_tomatoes,connectivity/cola_6ep_ft-33,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,8.703427791595459,-0.448807093230197
49,connectivity/bert_ft_qqp-25,rotten_tomatoes,connectivity/bert_ft_qqp-25,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,8.763744592666626,-0.4526938225855272
50,Jeevesh8/bert_ft_cola-88,rotten_tomatoes,Jeevesh8/bert_ft_cola-88,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,10.121670246124268,-0.4531173620254332
51,manueltonneau/bert-twitter-en-is-hired,rotten_tomatoes,manueltonneau/bert-twitter-en-is-hired,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,16.421576023101807,-0.4532470111773312
52,michiyasunaga/LinkBERT-base,rotten_tomatoes,michiyasunaga/LinkBERT-base,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,9.35468077659607,-0.4536448008184873
53,connectivity/bert_ft_qqp-1,rotten_tomatoes,connectivity/bert_ft_qqp-1,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,16.216919422149658,-0.4544231771248942
54,Jeevesh8/bert_ft_qqp-39,rotten_tomatoes,Jeevesh8/bert_ft_qqp-39,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,10.0787250995636,-0.4565035101695136
55,Jeevesh8/bert_ft_qqp-55,rotten_tomatoes,Jeevesh8/bert_ft_qqp-55,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,8.976151466369629,-0.4569219731055471
56,aXhyra/presentation_emotion_31415,rotten_tomatoes,aXhyra/presentation_emotion_31415,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,6.156649351119995,-0.4573400280232312
57,bert-base-cased,rotten_tomatoes,bert-base-cased,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,10.541731357574465,-0.4577551244116064
58,cardiffnlp/bertweet-base-stance-climate,rotten_tomatoes,cardiffnlp/bertweet-base-stance-climate,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,8.928558111190796,-0.4578603014432358
59,connectivity/bert_ft_qqp-96,rotten_tomatoes,connectivity/bert_ft_qqp-96,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,8.940400123596191,-0.4587449423021436
60,SetFit/distilbert-base-uncased__sst2__train-32-9,rotten_tomatoes,SetFit/distilbert-base-uncased__sst2__train-32-9,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,5.831516265869141,-0.4595124696488248
61,Giyaseddin/distilroberta-base-finetuned-short-answer-assessment,rotten_tomatoes,Giyaseddin/distilroberta-base-finetuned-short-answer-assessment,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,5.089892864227295,-0.4611401303650005
62,Jeevesh8/bert_ft_qqp-40,rotten_tomatoes,Jeevesh8/bert_ft_qqp-40,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,9.983242273330688,-0.4612778264434726
63,gchhablani/bert-base-cased-finetuned-wnli,rotten_tomatoes,gchhablani/bert-base-cased-finetuned-wnli,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,9.20313835144043,-0.4614457834014005
64,connectivity/bert_ft_qqp-17,rotten_tomatoes,connectivity/bert_ft_qqp-17,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,8.879305124282837,-0.4626971544236631
65,Jeevesh8/bert_ft_qqp-9,rotten_tomatoes,Jeevesh8/bert_ft_qqp-9,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,8.725161075592041,-0.4632872778874584
66,SetFit/distilbert-base-uncased__sst2__train-16-0,rotten_tomatoes,SetFit/distilbert-base-uncased__sst2__train-16-0,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,5.133580923080444,-0.4632944572235012
67,Jeevesh8/bert_ft_qqp-88,rotten_tomatoes,Jeevesh8/bert_ft_qqp-88,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,8.814870834350586,-0.4637932323809114
68,aditeyabaral/finetuned-sail2017-xlm-roberta-base,rotten_tomatoes,aditeyabaral/finetuned-sail2017-xlm-roberta-base,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,11.407697439193726,-0.4646943286642127
69,Jeevesh8/init_bert_ft_qqp-28,rotten_tomatoes,Jeevesh8/init_bert_ft_qqp-28,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,8.75510287284851,-0.4655834310391405
70,Jeevesh8/init_bert_ft_qqp-24,rotten_tomatoes,Jeevesh8/init_bert_ft_qqp-24,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,9.02807354927063,-0.466775598807738
71,pietrotrope/emotion_final,rotten_tomatoes,pietrotrope/emotion_final,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,5.8084635734558105,-0.4671194702239472
72,Jeevesh8/init_bert_ft_qqp-33,rotten_tomatoes,Jeevesh8/init_bert_ft_qqp-33,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,10.059921503067017,-0.4676991437462364
73,distilbert-base-uncased,rotten_tomatoes,distilbert-base-uncased,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,5.817649364471436,-0.4680130821111316
74,aXhyra/emotion_trained_31415,rotten_tomatoes,aXhyra/emotion_trained_31415,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,5.955041170120239,-0.4680585860349586
75,gchhablani/bert-base-cased-finetuned-rte,rotten_tomatoes,gchhablani/bert-base-cased-finetuned-rte,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,10.518674373626707,-0.468278725435993
76,connectivity/bert_ft_qqp-94,rotten_tomatoes,connectivity/bert_ft_qqp-94,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,8.632274627685547,-0.4693590294484859
77,Hate-speech-CNERG/bert-base-uncased-hatexplain-rationale-two,rotten_tomatoes,Hate-speech-CNERG/bert-base-uncased-hatexplain-rationale-two,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,8.722859382629395,-0.4737746156777258
78,Jeevesh8/init_bert_ft_qqp-49,rotten_tomatoes,Jeevesh8/init_bert_ft_qqp-49,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,8.658761978149414,-0.4784569001115955
79,riyadhctg/distilbert-base-uncased-finetuned-cola,rotten_tomatoes,riyadhctg/distilbert-base-uncased-finetuned-cola,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,5.9730072021484375,-0.4786175265737779
80,SetFit/distilbert-base-uncased__hate_speech_offensive__train-16-1,rotten_tomatoes,SetFit/distilbert-base-uncased__hate_speech_offensive__train-16-1,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,5.497954368591309,-0.4788339903258637
81,navsad/navid_test_bert,rotten_tomatoes,navsad/navid_test_bert,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,10.525831937789915,-0.4791802365181522
82,usami/distilbert-base-uncased-finetuned-cola,rotten_tomatoes,usami/distilbert-base-uncased-finetuned-cola,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,5.451457738876343,-0.481788045707345
83,zenkri/autotrain-Arabic_Poetry_by_Subject-920730230,rotten_tomatoes,zenkri/autotrain-Arabic_Poetry_by_Subject-920730230,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,9.028849840164185,-0.4848672930188352
84,Jeevesh8/bert_ft_qqp-68,rotten_tomatoes,Jeevesh8/bert_ft_qqp-68,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,8.692754983901978,-0.4861914132512179
85,oferweintraub/bert-base-finance-sentiment-noisy-search,rotten_tomatoes,oferweintraub/bert-base-finance-sentiment-noisy-search,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,10.317233324050903,-0.4886263554980916
86,aychang/bert-base-cased-trec-coarse,rotten_tomatoes,aychang/bert-base-cased-trec-coarse,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,10.713728666305542,-0.4889705027655424
87,nurkayevaa/autonlp-bert-covid-407910458,rotten_tomatoes,nurkayevaa/autonlp-bert-covid-407910458,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,5.7721240520477295,-0.4893172774610885
88,jaesun/distilbert-base-uncased-finetuned-cola,rotten_tomatoes,jaesun/distilbert-base-uncased-finetuned-cola,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,6.290523529052734,-0.4936873873980573
89,ali2066/DistilBERTFINAL_ctxSentence_TRAIN_editorials_TEST_NULL_second_train_set_null_False,rotten_tomatoes,ali2066/DistilBERTFINAL_ctxSentence_TRAIN_editorials_TEST_NULL_second_train_set_null_False,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,10.058513641357422,-0.5028101941452704
90,amyma21/sincere_question_classification,rotten_tomatoes,amyma21/sincere_question_classification,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,10.353033065795898,-0.5031398703217898
91,vesteinn/XLMR-ENIS-finetuned-cola,rotten_tomatoes,vesteinn/XLMR-ENIS-finetuned-cola,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,9.531171321868896,-0.5035131590356832
92,Aureliano/distilbert-base-uncased-if,rotten_tomatoes,Aureliano/distilbert-base-uncased-if,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,5.033028841018677,-0.5097418205825688
93,connectivity/bert_ft_qqp-7,rotten_tomatoes,connectivity/bert_ft_qqp-7,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,8.995421648025513,-0.5128711204829428
94,vaariis/distilbert-base-uncased-finetuned-emotion,rotten_tomatoes,vaariis/distilbert-base-uncased-finetuned-emotion,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,6.106935024261475,-0.5173373420566648
95,cointegrated/roberta-base-formality,rotten_tomatoes,cointegrated/roberta-base-formality,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,15.89660620689392,-0.5180835085524144
96,Nanatan/distilbert-base-uncased-finetuned-emotion,rotten_tomatoes,Nanatan/distilbert-base-uncased-finetuned-emotion,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,6.011111736297607,-0.5182640102340008
97,abdelkader/distilbert-base-uncased-finetuned-emotion,rotten_tomatoes,abdelkader/distilbert-base-uncased-finetuned-emotion,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,5.402384996414185,-0.5187024647495675
98,moghis/distilbert-base-uncased-finetuned-emotion,rotten_tomatoes,moghis/distilbert-base-uncased-finetuned-emotion,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,5.01362943649292,-0.5203940973503998
99,JB173/distilbert-base-uncased-finetuned-emotion,rotten_tomatoes,JB173/distilbert-base-uncased-finetuned-emotion,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,6.157683849334717,-0.5208249834713984
100,korca/bae-roberta-base-boolq,rotten_tomatoes,korca/bae-roberta-base-boolq,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,15.95666790008545,-0.521777919257496
101,uygarkurt/distilbert-base-uncased-finetuned-emotion,rotten_tomatoes,uygarkurt/distilbert-base-uncased-finetuned-emotion,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,5.040205001831055,-0.5225319682051643
102,rmihaylov/roberta-base-sentiment-bg,rotten_tomatoes,rmihaylov/roberta-base-sentiment-bg,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,5.820820569992065,-0.5230871315374479
103,jasonyim2/distilbert-base-uncased-finetuned-emotion,rotten_tomatoes,jasonyim2/distilbert-base-uncased-finetuned-emotion,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,5.948835611343384,-0.5303362684285992
104,neibla/distilbert-base-uncased-finetuned-emotion,rotten_tomatoes,neibla/distilbert-base-uncased-finetuned-emotion,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,5.879602909088135,-0.5305571641052453
105,marcelcastrobr/sagemaker-distilbert-emotion,rotten_tomatoes,marcelcastrobr/sagemaker-distilbert-emotion,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,5.014094591140747,-0.5314569746336425
106,justinqbui/bertweet-covid19-base-uncased-pretraining-covid-vaccine-tweets,rotten_tomatoes,justinqbui/bertweet-covid19-base-uncased-pretraining-covid-vaccine-tweets,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,9.823771715164185,-0.5465708308581811
107,cambridgeltl/guardian_news_distilbert-base-uncased,rotten_tomatoes,cambridgeltl/guardian_news_distilbert-base-uncased,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,6.065001726150513,-0.5483802527900792
108,ChrisUPM/BioBERT_Re_trained,rotten_tomatoes,ChrisUPM/BioBERT_Re_trained,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,10.722872257232666,-0.5574570580934243
109,liangyuant/distilbert-base-uncased-finetuned-num200-450-405cls,rotten_tomatoes,liangyuant/distilbert-base-uncased-finetuned-num200-450-405cls,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,5.5321033000946045,-0.5598441447303637
110,emrecan/bert-base-multilingual-cased-snli_tr,rotten_tomatoes,emrecan/bert-base-multilingual-cased-snli_tr,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,10.972609519958496,-0.567341201755557
111,anferico/bert-for-patents,rotten_tomatoes,anferico/bert-for-patents,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,46.00049161911011,-0.5776339607926138
112,phailyoor/distilbert-base-uncased-finetuned-yahd,rotten_tomatoes,phailyoor/distilbert-base-uncased-finetuned-yahd,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,5.033714294433594,-0.5826158339067988
113,socialmediaie/TRAC2020_IBEN_B_bert-base-multilingual-uncased,rotten_tomatoes,socialmediaie/TRAC2020_IBEN_B_bert-base-multilingual-uncased,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,10.336793184280396,-0.584281000174433
114,mrm8488/codebert-base-finetuned-detect-insecure-code,rotten_tomatoes,mrm8488/codebert-base-finetuned-detect-insecure-code,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,8.974348783493042,-0.6013102576095328
115,arianpasquali/distilbert-base-multilingual-cased-toxicity,rotten_tomatoes,arianpasquali/distilbert-base-multilingual-cased-toxicity,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,9.772730112075806,-0.6047420657780007
116,ASCCCCCCCC/distilbert-base-chinese-amazon_zh_20000,rotten_tomatoes,ASCCCCCCCC/distilbert-base-chinese-amazon_zh_20000,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,13.859973907470703,-0.637351057546395
117,classla/bcms-bertic-parlasent-bcs-ter,rotten_tomatoes,classla/bcms-bertic-parlasent-bcs-ter,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,14.63610291481018,-0.6377476297376287
118,AnonymousSub/dummy_2,rotten_tomatoes,AnonymousSub/dummy_2,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,10.816790103912354,-0.6457407609520216
119,jb2k/bert-base-multilingual-cased-language-detection,rotten_tomatoes,jb2k/bert-base-multilingual-cased-language-detection,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,9.696169376373293,-0.6486329811761713
120,Guscode/DKbert-hatespeech-detection,rotten_tomatoes,Guscode/DKbert-hatespeech-detection,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,20.643848419189453,-0.6538103436355105
121,IMSyPP/hate_speech_it,rotten_tomatoes,IMSyPP/hate_speech_it,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,9.204769611358644,-0.6576349902457752
122,M47Labs/spanish_news_classification_headlines_untrained,rotten_tomatoes,M47Labs/spanish_news_classification_headlines_untrained,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,12.68797254562378,-0.6647593070496449
123,finiteautomata/betonews-tweetcontext,rotten_tomatoes,finiteautomata/betonews-tweetcontext,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,23.350722074508667,-0.668912982110091
