,model_name,dataset_path,dataset_name,task_type,batch_size,metric,model,target_dataset,runtime,score
1,microsoft/beit-base-patch16-224-pt22k-ft22k,stanfordcars,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,microsoft/beit-base-patch16-224-pt22k-ft22k,stanfordcars,61.856544971466064,41.14519951340519
0,microsoft/beit-base-patch16-224,stanfordcars,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,microsoft/beit-base-patch16-224,stanfordcars,62.09595513343811,1.2621816181434895
1,microsoft/beit-base-patch16-224,stanfordcars,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,microsoft/beit-base-patch16-224,stanfordcars,61.941845417022705,42.111509718562274
0,meame2010/rare-puppers,stanfordcars,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,meame2010/rare-puppers,stanfordcars,64.23250460624695,1.2456126543986443
1,meame2010/rare-puppers,stanfordcars,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,meame2010/rare-puppers,stanfordcars,64.277578830719,34.26334964767023
0,matteopilotto/vit-base-patch16-224-in21k-snacks,stanfordcars,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,matteopilotto/vit-base-patch16-224-in21k-snacks,stanfordcars,63.65623688697815,1.2465429854474972
1,matteopilotto/vit-base-patch16-224-in21k-snacks,stanfordcars,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,matteopilotto/vit-base-patch16-224-in21k-snacks,stanfordcars,63.676865577697754,34.26968530560314
0,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,stanfordcars,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,stanfordcars,72.7994213104248,1.24171569226857
1,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,stanfordcars,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,stanfordcars,72.8308756351471,31.938996076478546
0,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,stanfordcars,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,stanfordcars,72.32106018066406,1.2369778262205915
1,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,stanfordcars,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,stanfordcars,72.27044486999512,29.493301529916103
0,microsoft/beit-large-patch16-224-pt22k-ft22k,stanfordcars,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,microsoft/beit-large-patch16-224-pt22k-ft22k,stanfordcars,83.94498443603516,1.2680962653680865
1,microsoft/beit-large-patch16-224-pt22k-ft22k,stanfordcars,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,microsoft/beit-large-patch16-224-pt22k-ft22k,stanfordcars,84.28514504432678,50.91188511108189
0,microsoft/beit-base-patch16-384,stanfordcars,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,microsoft/beit-base-patch16-384,stanfordcars,91.00495743751526,1.2673890991570724
1,microsoft/beit-base-patch16-384,stanfordcars,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,microsoft/beit-base-patch16-384,stanfordcars,90.81292462348938,44.508029348117574
0,microsoft/beit-large-patch16-224,stanfordcars,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,microsoft/beit-large-patch16-224,stanfordcars,83.92416572570801,1.2774652687165309
1,microsoft/beit-large-patch16-224,stanfordcars,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,microsoft/beit-large-patch16-224,stanfordcars,84.30006861686707,54.72334875791496
0,microsoft/swin-base-patch4-window7-224,stanfordcars,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,microsoft/swin-base-patch4-window7-224,stanfordcars,87.79832768440247,1.258745345035539
1,microsoft/swin-base-patch4-window7-224,stanfordcars,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,microsoft/swin-base-patch4-window7-224,stanfordcars,88.18919706344604,46.78735865096583
0,microsoft/swin-base-patch4-window7-224-in22k,stanfordcars,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,microsoft/swin-base-patch4-window7-224-in22k,stanfordcars,88.3416600227356,1.259213438343804
1,microsoft/swin-base-patch4-window7-224-in22k,stanfordcars,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,microsoft/swin-base-patch4-window7-224-in22k,stanfordcars,89.09822511672974,46.367897377278226
0,mrm8488/data2vec-base-finetuned-imagenet1k,stanfordcars,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,mrm8488/data2vec-base-finetuned-imagenet1k,stanfordcars,61.64859461784363,1.1927084759321789
1,mrm8488/data2vec-base-finetuned-imagenet1k,stanfordcars,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,mrm8488/data2vec-base-finetuned-imagenet1k,stanfordcars,61.43564987182617,31.63725594971733
0,mrm8488/vit-base-patch16-224_finetuned-pneumothorax,stanfordcars,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,mrm8488/vit-base-patch16-224_finetuned-pneumothorax,stanfordcars,61.84914207458496,1.2506248014409689
1,mrm8488/vit-base-patch16-224_finetuned-pneumothorax,stanfordcars,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,mrm8488/vit-base-patch16-224_finetuned-pneumothorax,stanfordcars,61.60236048698425,36.28509558060246
0,microsoft/swin-base-patch4-window12-384-in22k,stanfordcars,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,microsoft/swin-base-patch4-window12-384-in22k,stanfordcars,160.45003294944763,1.2622494981724224
1,microsoft/swin-base-patch4-window12-384-in22k,stanfordcars,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,microsoft/swin-base-patch4-window12-384-in22k,stanfordcars,160.78451204299927,48.240458161401335
0,mmgyorke/vit-world-landmarks,stanfordcars,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,mmgyorke/vit-world-landmarks,stanfordcars,61.617778062820435,1.2451943116642648
1,mmgyorke/vit-world-landmarks,stanfordcars,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,mmgyorke/vit-world-landmarks,stanfordcars,61.43839621543884,34.14564146833458
0,microsoft/swin-base-patch4-window12-384,stanfordcars,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,microsoft/swin-base-patch4-window12-384,stanfordcars,159.4097375869751,1.2637973748028575
1,microsoft/swin-base-patch4-window12-384,stanfordcars,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,microsoft/swin-base-patch4-window12-384,stanfordcars,159.7974133491516,49.42426857241161
0,mmekias/vit-base-beans,stanfordcars,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,mmekias/vit-base-beans,stanfordcars,61.26157236099243,1.2494529419255216
1,mmekias/vit-base-beans,stanfordcars,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,mmekias/vit-base-beans,stanfordcars,61.216665744781494,35.674201002051575
0,microsoft/swin-tiny-patch4-window7-224,stanfordcars,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,microsoft/swin-tiny-patch4-window7-224,stanfordcars,72.62617492675781,1.2444871395183525
1,microsoft/swin-tiny-patch4-window7-224,stanfordcars,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,microsoft/swin-tiny-patch4-window7-224,stanfordcars,72.6180009841919,33.5910174353313
0,nateraw/denver-nyc-paris,stanfordcars,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,nateraw/denver-nyc-paris,stanfordcars,61.0922327041626,1.2450289034288036
1,nateraw/denver-nyc-paris,stanfordcars,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,nateraw/denver-nyc-paris,stanfordcars,60.947118520736694,34.02677878467918
0,nateraw/doggos-lol,stanfordcars,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,nateraw/doggos-lol,stanfordcars,62.684913635253906,1.2458234749073547
1,nateraw/doggos-lol,stanfordcars,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,nateraw/doggos-lol,stanfordcars,62.60460925102234,34.36352370986744
0,microsoft/swin-small-patch4-window7-224,stanfordcars,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,microsoft/swin-small-patch4-window7-224,stanfordcars,81.50563716888428,1.2469258895314805
1,microsoft/swin-small-patch4-window7-224,stanfordcars,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,microsoft/swin-small-patch4-window7-224,stanfordcars,81.46644830703735,34.844336880151744
0,nateraw/baseball-stadium-foods,stanfordcars,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,nateraw/baseball-stadium-foods,stanfordcars,61.834298610687256,1.2431062384988398
1,nateraw/baseball-stadium-foods,stanfordcars,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,nateraw/baseball-stadium-foods,stanfordcars,61.67159056663513,33.260105480083354
0,nateraw/baked-goods,stanfordcars,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,nateraw/baked-goods,stanfordcars,63.45353388786316,1.2478900428657227
1,nateraw/baked-goods,stanfordcars,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,nateraw/baked-goods,stanfordcars,63.413371086120605,35.18848518636405
0,nateraw/donut-or-bagel,stanfordcars,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,nateraw/donut-or-bagel,stanfordcars,63.446364402770996,1.248791560708847
1,nateraw/donut-or-bagel,stanfordcars,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,nateraw/donut-or-bagel,stanfordcars,63.49547719955444,35.60933217458539
0,microsoft/swin-large-patch4-window7-224-in22k,stanfordcars,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,microsoft/swin-large-patch4-window7-224-in22k,stanfordcars,110.82046484947205,1.2661105901110776
1,microsoft/swin-large-patch4-window7-224-in22k,stanfordcars,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,microsoft/swin-large-patch4-window7-224-in22k,stanfordcars,112.84081697463989,62.04795866738328
0,microsoft/swin-large-patch4-window7-224,stanfordcars,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,microsoft/swin-large-patch4-window7-224,stanfordcars,110.20395684242249,1.2681436779673216
1,microsoft/swin-large-patch4-window7-224,stanfordcars,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,microsoft/swin-large-patch4-window7-224,stanfordcars,112.21741223335266,63.11067078937745
0,nateraw/food,stanfordcars,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,nateraw/food,stanfordcars,61.81521654129028,1.2439708142844847
1,nateraw/food,stanfordcars,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,nateraw/food,stanfordcars,61.651938915252686,33.35335750809465
0,nateraw/ex-for-evan,stanfordcars,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,nateraw/ex-for-evan,stanfordcars,61.06871795654297,1.2474190144561401
1,nateraw/ex-for-evan,stanfordcars,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,nateraw/ex-for-evan,stanfordcars,60.89454007148743,35.20075121456058
0,microsoft/swin-large-patch4-window12-384-in22k,stanfordcars,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,microsoft/swin-large-patch4-window12-384-in22k,stanfordcars,225.35252237319946,1.2699114514838539
1,microsoft/swin-large-patch4-window12-384-in22k,stanfordcars,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,microsoft/swin-large-patch4-window12-384-in22k,stanfordcars,226.39461398124695,64.0603151559601
0,nateraw/test_model_a,stanfordcars,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,nateraw/test_model_a,stanfordcars,58.92132568359375,1.2240885523034066
1,nateraw/test_model_a,stanfordcars,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,nateraw/test_model_a,stanfordcars,58.862566232681274,1.0199462321362438
0,nateraw/planes-trains-automobiles,stanfordcars,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,nateraw/planes-trains-automobiles,stanfordcars,61.231260776519775,1.2345896140225345
1,nateraw/planes-trains-automobiles,stanfordcars,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,nateraw/planes-trains-automobiles,stanfordcars,61.02162146568298,27.863471419105924
0,nateraw/rare-puppers-123,stanfordcars,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,nateraw/rare-puppers-123,stanfordcars,62.65451788902283,1.2503894256360117
1,nateraw/rare-puppers-123,stanfordcars,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,nateraw/rare-puppers-123,stanfordcars,62.455646276474,36.06245146582812
0,nateraw/rare-puppers-new-auth,stanfordcars,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,nateraw/rare-puppers-new-auth,stanfordcars,61.24988889694214,1.2506906322615865
1,nateraw/rare-puppers-new-auth,stanfordcars,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,nateraw/rare-puppers-new-auth,stanfordcars,61.121959924697876,36.28518008866222
0,nateraw/rare-puppers-09-04-2021,stanfordcars,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,nateraw/rare-puppers-09-04-2021,stanfordcars,61.54452729225159,1.2499674837368373
1,nateraw/rare-puppers-09-04-2021,stanfordcars,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,nateraw/rare-puppers-09-04-2021,stanfordcars,61.39161729812622,36.006986907781325
0,nateraw/pasta-shapes,stanfordcars,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,nateraw/pasta-shapes,stanfordcars,62.11633896827698,1.2486967674225082
1,nateraw/pasta-shapes,stanfordcars,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,nateraw/pasta-shapes,stanfordcars,61.96549725532532,35.634788929230695
0,microsoft/beit-large-patch16-384,stanfordcars,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,microsoft/beit-large-patch16-384,stanfordcars,263.4069712162018,1.2821421419769148
1,microsoft/beit-large-patch16-384,stanfordcars,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,microsoft/beit-large-patch16-384,stanfordcars,264.1269180774689,56.846349340548755
0,microsoft/swin-large-patch4-window12-384,stanfordcars,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,microsoft/swin-large-patch4-window12-384,stanfordcars,231.23365235328674,1.2724779831514546
1,microsoft/swin-large-patch4-window12-384,stanfordcars,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,microsoft/swin-large-patch4-window12-384,stanfordcars,233.18877935409546,65.4447733790193
0,nateraw/rare-puppers,stanfordcars,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,nateraw/rare-puppers,stanfordcars,62.7007896900177,1.2504722051503272
1,nateraw/rare-puppers,stanfordcars,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,nateraw/rare-puppers,stanfordcars,62.616522789001465,36.26532752488174
0,nateraw/huggingpics-package-demo-2,stanfordcars,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,nateraw/huggingpics-package-demo-2,stanfordcars,64.25365281105042,1.2485518090474172
1,nateraw/huggingpics-package-demo-2,stanfordcars,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,nateraw/huggingpics-package-demo-2,stanfordcars,64.26160478591919,35.43689500773113
0,nateraw/rare-puppers-demo,stanfordcars,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,nateraw/rare-puppers-demo,stanfordcars,61.85586380958557,1.2501583765914652
1,nateraw/rare-puppers-demo,stanfordcars,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,nateraw/rare-puppers-demo,stanfordcars,61.724610567092896,35.89222661723617
0,nateraw/pasta-pizza-ravioli,stanfordcars,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,nateraw/pasta-pizza-ravioli,stanfordcars,64.43023920059204,1.2472434538124928
1,nateraw/pasta-pizza-ravioli,stanfordcars,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,nateraw/pasta-pizza-ravioli,stanfordcars,64.47033929824829,34.89083243480803
0,nateraw/vit-base-beans-demo-v2,stanfordcars,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,nateraw/vit-base-beans-demo-v2,stanfordcars,61.87560510635376,1.245043196873965
1,nateraw/vit-base-beans-demo-v2,stanfordcars,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,nateraw/vit-base-beans-demo-v2,stanfordcars,61.71676707267761,33.796830778524374
0,nateraw/vit-base-beans,stanfordcars,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,nateraw/vit-base-beans,stanfordcars,63.211289405822754,1.2501568893386281
1,nateraw/vit-base-beans,stanfordcars,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,nateraw/vit-base-beans,stanfordcars,63.26830196380615,36.04101923330612
0,nateraw/vit-base-beans-demo,stanfordcars,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,nateraw/vit-base-beans-demo,stanfordcars,61.22691535949707,1.2443306908442784
1,nateraw/vit-base-beans-demo,stanfordcars,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,nateraw/vit-base-beans-demo,stanfordcars,61.05855631828308,33.66115292310107
0,nateraw/trainer-rare-puppers,stanfordcars,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,nateraw/trainer-rare-puppers,stanfordcars,63.50620365142822,1.2475613708129836
1,nateraw/trainer-rare-puppers,stanfordcars,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,nateraw/trainer-rare-puppers,stanfordcars,63.58949255943298,34.95122575977935
0,nateraw/vit-age-classifier,stanfordcars,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,nateraw/vit-age-classifier,stanfordcars,63.62007713317871,1.2470638337418911
1,nateraw/vit-age-classifier,stanfordcars,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,nateraw/vit-age-classifier,stanfordcars,63.63051891326904,34.69131671362145
0,nateraw/vit-base-cats-vs-dogs,stanfordcars,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,nateraw/vit-base-cats-vs-dogs,stanfordcars,60.13698124885559,1.2446036782514693
1,nateraw/vit-base-cats-vs-dogs,stanfordcars,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,nateraw/vit-base-cats-vs-dogs,stanfordcars,60.00846481323242,34.296329984987906
0,nateraw/vit-base-food101,stanfordcars,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,nateraw/vit-base-food101,stanfordcars,61.004838943481445,1.2471630627894303
1,nateraw/vit-base-food101,stanfordcars,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,nateraw/vit-base-food101,stanfordcars,60.87650656700134,34.72897172499323
0,nickmuchi/vit-base-beans,stanfordcars,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,nickmuchi/vit-base-beans,stanfordcars,62.553215980529785,1.2456087116095078
1,nickmuchi/vit-base-beans,stanfordcars,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,nickmuchi/vit-base-beans,stanfordcars,62.423413038253784,34.25057086105005
0,nateraw/vit-base-beans-demo-v3,stanfordcars,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,nateraw/vit-base-beans-demo-v3,stanfordcars,60.31375193595886,1.2452694990117512
1,nateraw/vit-base-beans-demo-v3,stanfordcars,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,nateraw/vit-base-beans-demo-v3,stanfordcars,60.157750606536865,33.881711180051894
0,nateraw/vit-base-patch16-224-cifar10,stanfordcars,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,nateraw/vit-base-patch16-224-cifar10,stanfordcars,61.91593289375305,1.2480132178658776
1,nateraw/vit-base-patch16-224-cifar10,stanfordcars,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,nateraw/vit-base-patch16-224-cifar10,stanfordcars,61.772279262542725,35.34107441203583
0,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,stanfordcars,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,stanfordcars,69.76793622970581,1.2414749763110864
1,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,stanfordcars,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,stanfordcars,69.61764097213745,31.726697509422014
0,nickmuchi/vit-finetuned-chest-xray-pneumonia,stanfordcars,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,nickmuchi/vit-finetuned-chest-xray-pneumonia,stanfordcars,64.23824262619019,1.249232623277003
1,nickmuchi/vit-finetuned-chest-xray-pneumonia,stanfordcars,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,nickmuchi/vit-finetuned-chest-xray-pneumonia,stanfordcars,64.30086374282837,35.78076821334585
0,nickmuchi/vit-base-xray-pneumonia,stanfordcars,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,nickmuchi/vit-base-xray-pneumonia,stanfordcars,63.89504289627075,1.2323270341404813
1,nickmuchi/vit-base-xray-pneumonia,stanfordcars,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,nickmuchi/vit-base-xray-pneumonia,stanfordcars,63.980822801589966,29.04434465759239
0,nickmuchi/vit-finetuned-cats-dogs,stanfordcars,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,nickmuchi/vit-finetuned-cats-dogs,stanfordcars,64.04614281654358,1.250630427130417
1,nickmuchi/vit-finetuned-cats-dogs,stanfordcars,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,nickmuchi/vit-finetuned-cats-dogs,stanfordcars,64.08462953567505,36.342266526914955
0,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,stanfordcars,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,stanfordcars,70.70608019828796,1.241775239551584
1,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,stanfordcars,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,stanfordcars,70.57924628257751,32.05233769568535
0,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,stanfordcars,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,stanfordcars,70.56372952461243,1.2412456320730245
1,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,stanfordcars,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,stanfordcars,70.37682628631592,31.760595702712685
0,Ahmed9275/ALL-test,smallnorb_label_elevation,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,Ahmed9275/ALL-test,smallnorb_label_elevation,62.08928966522217,-0.22166161297052642
1,Ahmed9275/ALL-test,smallnorb_label_elevation,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,Ahmed9275/ALL-test,smallnorb_label_elevation,62.52150368690491,1.0673362371753252
0,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,stanfordcars,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,stanfordcars,63.42447328567505,1.24452381668053
1,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,stanfordcars,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,stanfordcars,63.45348072052002,33.64785320304216
0,nielsr/vit-finetuned-eurosat-kornia,stanfordcars,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,nielsr/vit-finetuned-eurosat-kornia,stanfordcars,63.586257219314575,1.243746430864388
1,nielsr/vit-finetuned-eurosat-kornia,stanfordcars,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,nielsr/vit-finetuned-eurosat-kornia,stanfordcars,63.647783279418945,33.58219543510236
0,Ahmed9275/ALL-3,smallnorb_label_elevation,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,Ahmed9275/ALL-3,smallnorb_label_elevation,59.8845157623291,-0.21280250854332805
1,Ahmed9275/ALL-3,smallnorb_label_elevation,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,Ahmed9275/ALL-3,smallnorb_label_elevation,60.31932544708252,1.2014572953126106
0,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,stanfordcars,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,stanfordcars,63.77057647705078,1.246279234944784
