,model_name,dataset_path,dataset_name,task_type,batch_size,metric,model,target_dataset,runtime,score
1,SriramSridhar78/sriram-car-classifier,pets,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,SriramSridhar78/sriram-car-classifier,pets,15.979188919067383,26.36745685601244
0,Sena/flowers,pets,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,Sena/flowers,pets,15.286307573318481,0.8147692987301692
1,Sena/flowers,pets,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,Sena/flowers,pets,15.499688148498535,26.027313194028622
0,Symbermine/rare-puppers,pets,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,Symbermine/rare-puppers,pets,15.49250602722168,0.7089378735239531
1,Symbermine/rare-puppers,pets,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,Symbermine/rare-puppers,pets,15.735041379928589,24.395502747187663
0,WinKawaks/vit-tiny-patch16-224,pets,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,WinKawaks/vit-tiny-patch16-224,pets,15.179476499557495,0.5388442932675561
1,WinKawaks/vit-tiny-patch16-224,pets,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,WinKawaks/vit-tiny-patch16-224,pets,15.083746194839478,12.72515625576202
0,WinKawaks/vit-small-patch16-224,pets,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,WinKawaks/vit-small-patch16-224,pets,15.406846284866333,0.724092359935766
1,WinKawaks/vit-small-patch16-224,pets,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,WinKawaks/vit-small-patch16-224,pets,15.442688703536987,21.635280455565837
0,Zayn/VIT_Basic,pets,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,Zayn/VIT_Basic,pets,15.145666122436523,0.5171408699791211
1,Zayn/VIT_Basic,pets,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,Zayn/VIT_Basic,pets,15.326932430267334,18.342599705856312
0,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,pets,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,pets,15.123321056365967,0.779827333888059
1,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,pets,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,pets,15.332110166549683,26.079698389069087
0,ajanco/greens,pets,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,ajanco/greens,pets,15.50297474861145,0.7494806296308779
1,ajanco/greens,pets,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,ajanco/greens,pets,15.748519659042358,24.888013610641647
0,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,pets,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,pets,18.470204830169678,0.8729473640691789
1,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,pets,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,pets,18.57758617401123,27.646626219867848
0,akahana/vit-base-cats-vs-dogs,pets,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,akahana/vit-base-cats-vs-dogs,pets,15.724011898040771,0.5966632059776268
1,akahana/vit-base-cats-vs-dogs,pets,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,akahana/vit-base-cats-vs-dogs,pets,15.959401369094849,21.6355015656691
0,b25mayank3/shirt_identifier,pets,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,b25mayank3/shirt_identifier,pets,15.289913654327393,0.8453588330798492
1,b25mayank3/shirt_identifier,pets,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,b25mayank3/shirt_identifier,pets,15.408229112625122,26.60439391451861
0,black/simple_kitchen,pets,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,black/simple_kitchen,pets,15.428892135620117,0.8437652789242668
1,black/simple_kitchen,pets,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,black/simple_kitchen,pets,15.69205093383789,26.678448717895538
0,drab/Infrastructures,pets,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,drab/Infrastructures,pets,15.226754903793335,0.8419889080772304
1,drab/Infrastructures,pets,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,drab/Infrastructures,pets,15.338840246200562,26.556447764826856
0,driboune/skin_type,pets,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,driboune/skin_type,pets,15.277114152908325,0.8625205905926091
1,driboune/skin_type,pets,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,driboune/skin_type,pets,15.48655366897583,26.842710159314674
0,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,pets,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,pets,15.769769430160522,0.7792778093452679
1,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,pets,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,pets,16.0126473903656,25.69567506635064
0,eren23/pneumonia_test_attempt,pets,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,eren23/pneumonia_test_attempt,pets,15.72112250328064,0.8836423310090187
1,eren23/pneumonia_test_attempt,pets,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,eren23/pneumonia_test_attempt,pets,16.01629400253296,27.069561226517397
0,edixo/road_good_damaged_condition,pets,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,edixo/road_good_damaged_condition,pets,15.534682750701904,0.7581653668137304
1,edixo/road_good_damaged_condition,pets,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,edixo/road_good_damaged_condition,pets,15.776341199874878,25.022330221643955
0,eslamxm/vit-base-food101,pets,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,eslamxm/vit-base-food101,pets,19.501160860061646,0.618226993740954
1,eslamxm/vit-base-food101,pets,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,eslamxm/vit-base-food101,pets,19.545714378356934,21.245708641636142
0,facebook/deit-base-patch16-224,pets,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,facebook/deit-base-patch16-224,pets,14.535890340805054,0.8733061689097955
1,facebook/deit-base-patch16-224,pets,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,facebook/deit-base-patch16-224,pets,14.65718960762024,27.08242235642458
0,facebook/deit-base-patch16-384,pets,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,facebook/deit-base-patch16-384,pets,30.124728679656982,0.8671535309311398
1,facebook/deit-base-patch16-384,pets,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,facebook/deit-base-patch16-384,pets,30.234727382659912,26.83183598098868
0,facebook/deit-small-patch16-224,pets,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,facebook/deit-small-patch16-224,pets,19.465052366256714,0.6838623845735395
1,facebook/deit-small-patch16-224,pets,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,facebook/deit-small-patch16-224,pets,19.430452823638916,20.58473622738383
0,facebook/deit-tiny-patch16-224,pets,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,facebook/deit-tiny-patch16-224,pets,15.148908615112305,0.5226743068975597
1,facebook/deit-tiny-patch16-224,pets,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,facebook/deit-tiny-patch16-224,pets,15.154752969741821,12.084153499168034
0,filipafcastro/beer_vs_wine,pets,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,filipafcastro/beer_vs_wine,pets,14.555559873580933,0.8253742248756977
1,filipafcastro/beer_vs_wine,pets,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,filipafcastro/beer_vs_wine,pets,14.676365852355957,26.228759806814217
0,firas-spanioli/beer-whisky-wine-detection,pets,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,firas-spanioli/beer-whisky-wine-detection,pets,15.208231210708618,0.8472696018052605
